Date,Close/Last,Open,High,Low
02/23/2023,25.61,25.78,26.08,25.32
02/22/2023,25.47,25.91,26.90,25.30
02/21/2023,26.06,27.11,27.27,26.04
02/17/2023,27.61,28.00,28.07,27.38
02/16/2023,28.20,28.50,28.825,28.13
02/15/2023,28.85,28.36,28.88,28.16
02/14/2023,28.64,28.38,28.72,27.99
02/13/2023,28.55,27.87,28.55,27.715
02/10/2023,27.80,27.63,27.99,27.335
02/09/2023,27.73,28.68,28.82,27.565
02/08/2023,28.24,28.95,29.12,28.21
02/07/2023,29.05,28.65,29.27,28.43
02/06/2023,28.69,29.55,29.65,28.61
02/03/2023,30.32,29.62,31.17,29.53
02/02/2023,30.19,29.25,30.30,28.795
02/01/2023,29.07,27.89,29.43,27.68
01/31/2023,28.26,27.78,28.29,27.53
01/30/2023,27.95,27.715,28.51,27.67
01/27/2023,28.16,27.07,28.24,26.78
01/26/2023,30.09,30.06,30.11,29.33
01/25/2023,29.70,29.52,29.885,29.17
01/24/2023,29.92,29.94,30.19,29.73
01/23/2023,30.27,29.325,30.49,29.18
01/20/2023,29.22,28.42,29.23,28.25
01/19/2023,28.42,28.61,28.755,28.24
01/18/2023,28.81,29.80,29.82,28.63
01/17/2023,29.60,30.18,30.2557,29.52
01/13/2023,30.11,29.97,30.17,29.81
01/12/2023,30.29,29.98,30.38,29.47
01/11/2023,29.85,29.68,29.88,29.00
01/10/2023,29.44,29.235,29.51,28.915
01/09/2023,29.31,28.84,29.865,28.84
01/06/2023,28.73,27.93,28.83,27.38
01/05/2023,27.56,27.435,27.779,27.38
01/04/2023,27.68,27.41,27.92,27.16
01/03/2023,26.73,27.045,27.07,26.37
12/30/2022,26.43,25.902,26.46,25.80
12/29/2022,26.21,25.77,26.29,25.75
12/28/2022,25.54,25.84,26.115,25.50
12/27/2022,25.94,25.845,26.10,25.65
12/23/2022,26.09,25.92,26.19,25.6835
12/22/2022,25.97,26.45,26.452,25.35
12/21/2022,26.83,26.59,26.97,26.58
12/20/2022,26.44,26.535,26.87,26.4201
12/19/2022,26.79,26.90,26.97,26.50
12/16/2022,26.92,27.00,27.135,26.4522
12/15/2022,27.15,27.94,28.00,27.12
12/14/2022,28.26,28.51,29.12,28.01
12/13/2022,28.73,29.79,30.09,28.37
12/12/2022,28.69,28.13,28.71,27.8588
12/09/2022,28.24,28.39,28.78,28.19
12/08/2022,28.44,28.32,28.60,28.065
12/07/2022,28.33,28.28,28.55,28.15
12/06/2022,28.60,29.19,29.31,28.3436
12/05/2022,29.17,29.42,29.75,28.89
12/02/2022,29.41,29.17,29.43,28.71
12/01/2022,29.83,30.24,30.48,29.52
11/30/2022,30.07,28.77,30.08,28.22
11/29/2022,28.90,28.85,29.18,28.74
11/28/2022,28.725,29.10,29.19,28.54
11/25/2022,29.34,29.68,29.68,29.335
11/23/2022,29.67,29.73,30.08,29.49
11/22/2022,29.82,29.135,29.86,29.0558
11/21/2022,28.94,29.66,29.715,28.91
11/18/2022,29.87,30.26,30.26,29.61
11/17/2022,29.89,29.065,29.95,29.00
11/16/2022,29.53,30.11,30.23,29.44
11/15/2022,30.71,31.095,31.335,30.165
11/14/2022,30.35,30.34,30.99,30.18
11/11/2022,30.43,28.925,30.63,28.87
11/10/2022,29.76,28.88,29.83,28.645
11/09/2022,27.52,28.22,28.30,27.52
11/08/2022,28.48,28.755,28.95,27.93
11/07/2022,28.41,28.36,28.465,27.89
11/04/2022,28.20,27.57,28.235,27.41
11/03/2022,27.39,27.45,27.88,27.17
11/02/2022,27.42,28.27,28.85,27.41
11/01/2022,28.30,28.80,28.85,27.89
10/31/2022,28.43,29.08,29.18,28.05
10/28/2022,29.07,28.175,29.2186,27.86
10/27/2022,26.27,27.45,27.59,26.13
10/26/2022,27.21,27.19,27.80,26.99
10/25/2022,27.41,27.18,27.555,27.00
10/24/2022,27.18,26.75,27.48,26.52
10/21/2022,26.97,25.85,27.05,25.79
10/20/2022,26.08,26.15,26.95,25.945
10/19/2022,26.00,25.735,26.25,25.69
10/18/2022,25.87,26.74,26.955,25.54
10/17/2022,26.42,26.31,26.75,26.1713
10/14/2022,25.91,26.46,26.63,25.76
10/13/2022,26.42,24.725,26.835,24.59
10/12/2022,25.33,25.05,25.52,24.66
10/11/2022,25.04,25.01,25.48,24.69
10/10/2022,25.20,25.94,25.99,25.09
10/07/2022,25.72,26.17,26.275,25.651
10/06/2022,27.18,27.44,27.76,27.00
10/05/2022,27.64,27.365,27.84,26.89
10/04/2022,27.70,27.425,27.795,27.09
10/03/2022,26.97,26.33,27.25,26.065
09/30/2022,25.77,26.30,26.57,25.74
09/29/2022,26.38,26.78,26.78,26.185
09/28/2022,27.13,26.86,27.28,26.60
09/27/2022,26.89,27.40,27.595,26.62
09/26/2022,26.97,27.56,27.6995,26.86
09/23/2022,27.52,27.90,27.90,27.19
09/22/2022,28.07,28.40,28.50,28.04
09/21/2022,28.47,29.15,29.59,28.46
09/20/2022,28.96,29.065,29.165,28.71
09/19/2022,29.44,29.02,29.50,28.90
09/16/2022,29.24,28.70,29.32,28.42
09/15/2022,28.84,29.15,29.41,28.71
09/14/2022,29.18,29.55,29.765,29.01
09/13/2022,29.29,30.83,30.93,29.25
09/12/2022,31.56,31.735,31.86,31.10
09/09/2022,31.46,31.19,31.50,31.075
09/08/2022,30.75,30.37,30.8469,29.91
09/07/2022,30.65,30.42,30.785,30.05
09/06/2022,30.36,31.39,31.39,30.33
09/02/2022,31.22,32.21,32.375,31.06
09/01/2022,31.76,31.572,31.825,31.13
08/31/2022,31.92,32.385,32.385,31.77
08/30/2022,32.26,33.04,33.07,32.15
08/29/2022,32.94,33.225,33.41,32.81
08/26/2022,33.36,34.95,35.025,33.35
08/25/2022,34.89,33.87,34.93,33.82
08/24/2022,33.86,33.97,33.99,33.60
08/23/2022,33.95,33.98,34.39,33.91
08/22/2022,33.84,35.00,35.06,33.73
08/19/2022,35.38,35.80,36.025,35.19
08/18/2022,36.20,35.68,36.33,35.57
08/17/2022,35.78,35.81,36.075,35.27
08/16/2022,36.19,36.16,36.575,35.70
08/15/2022,36.34,36.10,36.43,35.71
08/12/2022,36.11,35.80,36.14,35.67
08/11/2022,35.59,35.64,36.29,35.485
08/10/2022,35.37,34.99,35.40,34.59
08/09/2022,34.52,35.22,35.30,34.40
08/08/2022,35.38,35.36,35.96,35.20
08/05/2022,35.39,35.345,35.69,35.18
08/04/2022,35.66,36.012,36.10,35.36
08/03/2022,36.52,36.09,36.59,35.26
08/02/2022,36.01,36.59,36.66,36.00
08/01/2022,36.96,36.05,37.69,36.05
07/29/2022,36.31,35.605,36.62,35.24
07/28/2022,39.71,40.09,40.12,39.04
07/27/2022,40.18,39.27,40.425,39.23
07/26/2022,38.96,39.10,39.565,38.88
07/25/2022,39.16,39.285,39.41,38.55
07/22/2022,39.20,40.37,40.51,38.94
07/21/2022,40.61,40.51,40.645,39.82
07/20/2022,40.56,40.21,40.67,39.56
07/19/2022,40.22,39.32,40.73,39.24
07/18/2022,38.71,39.10,39.34,38.525
07/15/2022,38.62,38.27,38.67,37.73
07/14/2022,37.71,36.99,38.155,36.29
07/13/2022,37.21,36.68,37.4299,36.62
07/12/2022,37.21,37.65,37.70,36.99
07/11/2022,37.20,37.66,37.675,37.03
07/08/2022,37.99,37.66,38.14,37.3901
07/07/2022,38.14,37.89,38.33,37.73
07/06/2022,36.99,36.82,37.425,36.46
07/05/2022,36.69,35.93,36.74,35.54
07/01/2022,36.34,37.09,37.20,35.88
06/30/2022,37.41,37.21,38.00,36.725
06/29/2022,37.29,37.54,37.595,37.02
06/28/2022,37.78,38.58,39.02,37.74
06/27/2022,38.63,38.87,39.06,38.4701
06/24/2022,38.61,37.845,38.64,37.74
06/23/2022,37.41,37.61,37.62,36.91
06/22/2022,37.38,37.33,37.77,37.22
06/21/2022,37.73,37.36,38.025,37.325
06/17/2022,36.97,37.48,38.12,36.60
06/16/2022,37.34,37.695,37.79,36.93
06/15/2022,38.65,38.56,39.17,37.92
06/14/2022,37.93,38.01,38.20,37.54
06/13/2022,37.77,38.55,38.81,37.67
06/10/2022,39.18,39.85,40.08,39.18
06/09/2022,40.01,41.01,41.35,40.01
06/08/2022,41.23,42.25,42.26,41.03
06/07/2022,43.53,43.06,43.59,42.66
06/06/2022,43.34,43.81,44.04,43.08
06/03/2022,43.39,44.105,44.2458,43.34
06/02/2022,44.84,44.19,44.88,43.94
06/01/2022,44.11,44.77,44.93,43.525
05/31/2022,44.42,44.25,44.75,43.645
05/27/2022,44.55,43.59,44.55,43.55
05/26/2022,43.48,42.17,43.68,42.08
05/25/2022,42.20,41.44,42.515,41.39
05/24/2022,41.67,41.698,41.89,41.10
05/23/2022,42.00,41.69,42.25,41.325
05/20/2022,41.65,42.245,42.29,40.31
05/19/2022,42.01,42.32,42.70,41.72
05/18/2022,42.35,43.98,43.98,42.22
05/17/2022,44.40,43.82,44.42,43.65
05/16/2022,43.08,43.42,43.6099,42.785
05/13/2022,43.60,43.42,43.84,42.97
05/12/2022,42.84,42.73,42.905,42.01
05/11/2022,42.83,44.02,44.29,42.78
05/10/2022,44.01,44.35,44.735,43.50
05/09/2022,43.07,43.81,44.20,42.87
05/06/2022,44.30,44.49,45.15,43.84
05/05/2022,44.60,45.60,45.91,44.13
05/04/2022,46.54,45.06,46.64,44.41
05/03/2022,45.06,44.79,45.49,44.23
05/02/2022,44.96,43.72,44.99,43.51
04/29/2022,43.59,44.99,45.36,43.50
04/28/2022,46.84,45.785,47.27,45.5408
04/27/2022,45.22,45.48,46.06,45.01
04/26/2022,45.52,46.69,46.84,45.51
04/25/2022,47.06,46.21,47.14,46.18
04/22/2022,46.54,47.45,47.65,46.50
04/21/2022,47.50,48.62,48.90,47.40
04/20/2022,48.11,48.36,48.75,47.975
04/19/2022,47.93,46.60,48.00,46.34
04/18/2022,46.64,45.53,46.89,45.52
04/14/2022,45.67,46.745,46.75,45.62
04/13/2022,47.01,46.75,47.2687,46.55
04/12/2022,46.50,47.32,47.91,46.41
04/11/2022,46.57,46.90,47.295,46.53
04/08/2022,47.02,47.28,47.58,46.845
04/07/2022,47.56,47.425,47.91,46.77
04/06/2022,47.54,47.44,48.17,47.24
04/05/2022,48.13,48.83,48.98,48.02
04/04/2022,49.20,48.17,49.23,47.915
04/01/2022,48.11,49.83,49.90,47.325
03/31/2022,49.56,51.20,51.26,49.51
03/30/2022,51.43,52.25,52.51,51.22
03/29/2022,52.25,52.00,52.29,51.275
03/28/2022,51.51,51.36,51.57,50.56
03/25/2022,51.83,50.69,51.9783,50.45
03/24/2022,51.62,48.66,51.65,48.59
03/23/2022,48.27,48.46,49.58,48.0601
03/22/2022,48.39,47.50,48.47,47.40
03/21/2022,47.39,47.46,47.89,47.065
03/18/2022,47.45,46.82,47.60,46.35
03/17/2022,47.14,46.32,47.2873,45.73
03/16/2022,46.63,45.30,46.63,45.27
03/15/2022,44.81,44.50,44.90,44.07
03/14/2022,44.40,45.90,45.98,44.30
03/11/2022,45.83,47.15,47.275,45.765
03/10/2022,46.66,47.29,47.31,46.155
03/09/2022,47.63,48.41,48.46,46.885
03/08/2022,47.50,47.69,48.72,46.89
03/07/2022,47.68,48.005,48.54,47.60
03/04/2022,48.07,47.37,48.265,47.37
03/03/2022,47.93,48.18,48.55,47.6236
03/02/2022,48.87,47.52,48.99,47.48
03/01/2022,46.82,47.54,47.90,46.22
02/28/2022,47.70,47.00,47.82,46.85
02/25/2022,47.71,46.93,47.79,46.25
02/24/2022,46.72,43.90,46.79,43.625
